year,country3,population
1960,ABW,54211
1961,ABW,55438
1962,ABW,56225
1963,ABW,56695
1964,ABW,57032
1965,ABW,57360
1966,ABW,57715
1967,ABW,58055
1968,ABW,58386
1969,ABW,58726
1970,ABW,59063
1971,ABW,59440
1972,ABW,59840
1973,ABW,60243
1974,ABW,60528
1975,ABW,60657
1976,ABW,60586
1977,ABW,60366
1978,ABW,60103
1979,ABW,59980
1980,ABW,60096
1981,ABW,60567
1982,ABW,61345
1983,ABW,62201
1984,ABW,62836
1985,ABW,63026
1986,ABW,62644
1987,ABW,61833
1988,ABW,61079
1989,ABW,61032
1990,ABW,62149
1991,ABW,64622
1992,ABW,68235
1993,ABW,72504
1994,ABW,76700
1995,ABW,80324
1996,ABW,83200
1997,ABW,85451
1998,ABW,87277
1999,ABW,89005
2000,ABW,90853
2001,ABW,92898
2002,ABW,94992
2003,ABW,97017
2004,ABW,98737
2005,ABW,100031
2006,ABW,100832
2007,ABW,101220
2008,ABW,101353
2009,ABW,101453
2010,ABW,101669
2011,ABW,102053
2012,ABW,102577
2013,ABW,103187
2014,ABW,103795
2015,ABW,104341
2016,ABW,104822
2017,ABW,105264
1960,AFG,8996351
1961,AFG,9166764
1962,AFG,9345868
1963,AFG,9533954
1964,AFG,9731361
1965,AFG,9938414
1966,AFG,10152331
1967,AFG,10372630
1968,AFG,10604346
1969,AFG,10854428
1970,AFG,11126123
1971,AFG,11417825
1972,AFG,11721940
1973,AFG,12027822
1974,AFG,12321541
1975,AFG,12590286
1976,AFG,12840299
1977,AFG,13067538
1978,AFG,13237734
1979,AFG,13306695
1980,AFG,13248370
1981,AFG,13053954
1982,AFG,12749645
1983,AFG,12389269
1984,AFG,12047115
1985,AFG,11783050
1986,AFG,11601041
1987,AFG,11502761
1988,AFG,11540888
1989,AFG,11777609
1990,AFG,12249114
1991,AFG,12993657
1992,AFG,13981231
1993,AFG,15095099
1994,AFG,16172719
1995,AFG,17099541
1996,AFG,17822884
1997,AFG,18381605
1998,AFG,18863999
1999,AFG,19403676
2000,AFG,20093756
2001,AFG,20966463
2002,AFG,21979923
2003,AFG,23064851
2004,AFG,24118979
2005,AFG,25070798
2006,AFG,25893450
2007,AFG,26616792
2008,AFG,27294031
2009,AFG,28004331
2010,AFG,28803167
2011,AFG,29708599
2012,AFG,30696958
2013,AFG,31731688
2014,AFG,32758020
2015,AFG,33736494
2016,AFG,34656032
2017,AFG,35530081
1960,AGO,5643182
1961,AGO,5753024
1962,AGO,5866061
1963,AGO,5980417
1964,AGO,6093321
1965,AGO,6203299
1966,AGO,6309770
1967,AGO,6414995
1968,AGO,6523791
1969,AGO,6642632
1970,AGO,6776381
1971,AGO,6927269
1972,AGO,7094834
1973,AGO,7277960
1974,AGO,7474338
1975,AGO,7682479
1976,AGO,7900997
1977,AGO,8130988
1978,AGO,8376147
1979,AGO,8641521
1980,AGO,8929900
1981,AGO,9244507
1982,AGO,9582156
1983,AGO,9931562
1984,AGO,10277321
1985,AGO,10609042
1986,AGO,10921037
1987,AGO,11218268
1988,AGO,11513968
1989,AGO,11827237
1990,AGO,12171441
1991,AGO,12553446
1992,AGO,12968345
1993,AGO,13403734
1994,AGO,13841301
1995,AGO,14268994
1996,AGO,14682284
1997,AGO,15088981
1998,AGO,15504318
1999,AGO,15949766
2000,AGO,16440924
2001,AGO,16983266
2002,AGO,17572649
2003,AGO,18203369
2004,AGO,18865716
2005,AGO,19552542
2006,AGO,20262399
2007,AGO,20997687
2008,AGO,21759420
2009,AGO,22549547
2010,AGO,23369131
2011,AGO,24218565
2012,AGO,25096150
2013,AGO,25998340
2014,AGO,26920466
2015,AGO,27859305
2016,AGO,28813463
2017,AGO,29784193
1960,ALB,1608800
1961,ALB,1659800
1962,ALB,1711319
1963,ALB,1762621
1964,ALB,1814135
1965,ALB,1864791
1966,ALB,1914573
1967,ALB,1965598
1968,ALB,2022272
1969,ALB,2081695
1970,ALB,2135479
1971,ALB,2187853
1972,ALB,2243126
1973,ALB,2296752
1974,ALB,2350124
1975,ALB,2404831
1976,ALB,2458526
1977,ALB,2513546
1978,ALB,2566266
1979,ALB,2617832
1980,ALB,2671997
1981,ALB,2726056
1982,ALB,2784278
1983,ALB,2843960
1984,ALB,2904429
1985,ALB,2964762
1986,ALB,3022635
1987,ALB,3083605
1988,ALB,3142336
1989,ALB,3227943
1990,ALB,3286542
1991,ALB,3266790
1992,ALB,3247039
1993,ALB,3227287
1994,ALB,3207536
1995,ALB,3187784
1996,ALB,3168033
1997,ALB,3148281
1998,ALB,3128530
1999,ALB,3108778
2000,ALB,3089027
2001,ALB,3060173
2002,ALB,3051010
2003,ALB,3039616
2004,ALB,3026939
2005,ALB,3011487
2006,ALB,2992547
2007,ALB,2970017
2008,ALB,2947314
2009,ALB,2927519
2010,ALB,2913021
2011,ALB,2905195
2012,ALB,2900401
2013,ALB,2895092
2014,ALB,2889104
2015,ALB,2880703
2016,ALB,2876101
2017,ALB,2873457
1960,AND,13411
1961,AND,14375
1962,AND,15370
1963,AND,16412
1964,AND,17469
1965,AND,18549
1966,AND,19647
1967,AND,20758
1968,AND,21890
1969,AND,23058
1970,AND,24276
1971,AND,25559
1972,AND,26892
1973,AND,28232
1974,AND,29520
1975,AND,30705
1976,AND,31777
1977,AND,32771
1978,AND,33737
1979,AND,34818
1980,AND,36067
